date,fremont_bridge,temperature_2m,precipitation,wind_speed_10m
2016-04-28,3870.0,10.858333333333334,0.0,4.566666666666666
2016-04-29,2941.0,11.299999999999999,5.1000000000000005,4.591666666666667
2016-04-30,2245.0,11.441666666666668,0.0,6.2625
2016-05-01,2488.0,13.3125,0.0,9.358333333333333
2016-05-02,5656.0,16.704166666666666,0.0,6.633333333333333
2016-05-03,5313.0,17.795833333333334,0.0,5.2625
2016-05-04,4089.0,13.970833333333333,0.0,11.0375
2016-05-05,4958.0,13.166666666666666,0.0,7.641666666666667
2016-05-06,4717.0,15.012500000000001,0.0,11.066666666666668
2016-05-07,2770.0,17.533333333333335,0.0,6.508333333333333
2016-05-08,1178.0,14.883333333333333,2.6,7.6375
2016-05-09,4852.0,12.258333333333333,1.5,5.316666666666666
2016-05-10,5549.0,14.4,0.0,6.891666666666667
2016-05-11,5494.0,16.104166666666668,0.0,5.491666666666667
2016-05-12,5159.0,16.941666666666666,0.0,5.445833333333333
2016-05-13,4965.0,17.974999999999998,0.0,6.295833333333333
2016-05-14,1597.0,17.150000000000002,0.8,7.875
2016-05-15,1040.0,12.4125,5.8,9.979166666666666
2016-05-16,3803.0,12.65,1.9000000000000001,3.1
2016-05-17,5165.0,13.5,0.0,4.845833333333333
2016-05-18,4555.0,14.554166666666667,0.9,5.266666666666667
2016-05-19,3259.0,10.816666666666668,15.0,8.308333333333334
2016-05-20,4711.0,11.5625,2.7,6.4875
2016-05-21,741.0,12.112499999999999,5.9,8.145833333333334
2016-05-22,1958.0,12.283333333333333,2.8000000000000003,11.420833333333334
2016-05-23,4207.0,12.966666666666667,0.6,6.5249999999999995
2016-05-24,4651.0,13.354166666666666,0.0,4.075
2016-05-25,4503.0,13.766666666666666,0.0,5.583333333333333
2016-05-26,3970.0,12.9,0.30000000000000004,9.470833333333333
2016-05-27,2863.0,11.575000000000001,3.4000000000000004,6.2
2016-05-28,1185.0,11.229166666666666,5.5,12.479166666666666
2016-05-29,899.0,12.279166666666667,9.1,10.054166666666667
2016-05-30,2965.0,12.570833333333333,0.0,6.945833333333333
2016-05-31,4899.0,15.316666666666668,0.0,7.6875
2016-06-01,4809.0,17.266666666666666,0.0,5.9125000000000005
2016-06-02,4085.0,15.816666666666668,3.2,11.0375
2016-06-03,4470.0,16.7625,0.0,4.916666666666667
2016-06-04,2639.0,19.2,0.0,13.483333333333334
2016-06-05,2133.0,21.883333333333336,0.0,9.004166666666666
2016-06-06,4764.0,22.916666666666668,0.0,7.529166666666666
2016-06-07,5087.0,20.933333333333334,0.0,6.5375000000000005
2016-06-08,4627.0,18.591666666666665,0.0,9.045833333333333
2016-06-09,3970.0,14.387500000000001,0.6000000000000001,4.941666666666666
2016-06-10,3278.0,13.408333333333333,3.0,11.283333333333333
2016-06-11,1660.0,12.766666666666666,3.2,8.804166666666667
2016-06-12,2174.0,13.674999999999999,0.5,5.858333333333333
2016-06-13,3561.0,14.075000000000001,1.4,8.270833333333334
2016-06-14,3214.0,11.291666666666666,14.1,13.429166666666667
2016-06-15,4388.0,11.483333333333334,4.4,9.404166666666667
2016-06-16,4319.0,13.166666666666666,0.1,5.541666666666667
2016-06-17,3553.0,13.829166666666666,0.0,7.983333333333333
2016-06-18,1117.0,13.845833333333333,7.9,4.483333333333333
2016-06-19,2273.0,13.5875,3.1,8.183333333333334
2016-06-20,4348.0,15.654166666666667,0.2,10.504166666666666
2016-06-21,4425.0,16.170833333333334,3.2,8.729166666666666
2016-06-22,4724.0,15.816666666666668,0.0,5.916666666666667
2016-06-23,2572.0,16.2,3.7,11.970833333333333
2016-06-24,2615.0,13.533333333333333,19.7,7.566666666666666
2016-06-25,2223.0,14.958333333333334,1.8,4.179166666666666
2016-06-26,2500.0,16.541666666666668,0.0,10.395833333333334
2016-06-27,4546.0,19.5125,0.0,6.795833333333333
2016-06-28,4745.0,19.287499999999998,0.0,5.708333333333333
2016-06-29,4484.0,18.045833333333334,0.0,4.820833333333334
2016-06-30,4314.0,17.054166666666667,0.4,3.8208333333333333
2016-07-01,3698.0,16.845833333333335,0.5,5.2124999999999995
2016-07-02,2014.0,17.341666666666665,0.0,5.945833333333333
2016-07-03,1781.0,16.516666666666666,3.1,5.6499999999999995
2016-07-04,2208.0,15.166666666666666,1.6,8.041666666666666
2016-07-05,3221.0,14.229166666666666,5.2,4.579166666666667
2016-07-06,4816.0,15.0,0.1,4.0
2016-07-07,3426.0,16.445833333333333,0.4,8.683333333333334
